kod_lakma;kategorie_excel;kod_lakma_full;kod_pl;kod_celni;ean_ks;ean_krt;nazev_zkraceny;objem;zaruka_dny;karton_ks;vrstva_ks;vrstva_krt;vrstva_pocet;paleta_ks;paleta_krt;hmotnost_vyrobek_kg;hmotnost_karton_kg;hmotnost_paleta_kg;rozmer_karton_delka_m;rozmer_karton_hloubka_m;rozmer_karton_vyska_m;vyrobek_delka_cm;vyrobek_hloubka_cm;vyrobek_vyska_cm
1012012;SIDOLUX WINDOW;01012012;121-01-051-0060;3402909000;5902986223327;5902986223334;SDX OKNA&ZRCADLA ARCTIC 500ml;500ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.28;10.5;5.2;26
1012013;SIDOLUX WINDOW;01012013;121-01-051-0061;3402909000;5902986223280;5902986223297;SDX WINDOW FLOWER 500ml;500ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.28;10.5;5.2;26
1012014;SIDOLUX WINDOW;01012014;121-01-051-0059;3402909000;5902986230059;5902986230066;SDX OKNA&ZRCADLA ANTI FOG 500ml;500ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.28;10.5;5.2;26
1012015;SIDOLUX WINDOW;01012015;121-01-051-0212;3402909000;5902986292897;5902986292903;SDX OKNA&ZRCADLA MARSEILL+LEV 500ml;500ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.28;10.5;5.2;26
1012008;SIDOLUX WINDOW;01012008;121-01-051-0225;3402909000;5902986211386;5902986211393;SDX OKNA&ZRCADLA JAPANESE CHERRY 500ml;500ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.28;10.5;5.2;26
1012016;SIDOLUX WINDOW;01012016;121-01-051-0224;3402909000;5902986211065;5902986211072;SDX OKNA&ZRCADLA LEMONGRASS 500ml;500ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.28;10.5;5.2;26
1012004;SIDOLUX WINDOW;01012004;131-01-051-0072;3402909000;5902986203978;5902986203985;SDX OKNA&ZRCADLA LEMON 750ml;750ml;1080;10;110;11;4;440;44;0.816;8.16;359.04;0.345;0.22;0.285;10.8;6.8;28
1012005;SIDOLUX WINDOW;01012005;131-01-051-0076;3402909000;5902986203954;5902986203961;SDX OKNA&ZRCADLA ARCTIC 750ml;750ml;1080;10;110;11;4;440;44;0.816;8.16;359.04;0.345;0.22;0.285;10.8;6.8;28
1012006;SIDOLUX WINDOW;01012006;131-01-051-0078;3402909000;5902986203992;5902986204005;SDX WINDOW FLOWER 750ml;750ml;1080;10;110;11;4;440;44;0.816;8.16;359.04;0.345;0.22;0.285;10.8;6.8;28
1012007;SIDOLUX WINDOW;01012007;131-01-051-0079;3402909000;5902986245213;5902986245220;SDX WINDOW ANTI FOG 750ml;750ml;1080;10;110;11;4;440;44;0.816;8.16;359.04;0.345;0.22;0.285;10.8;6.8;28
1012003;SIDOLUX WINDOW;01012003;131-01-051-0080;3402909000;5902986212215;5902986212222;SDX OKNA&ZRCADLA JAPANESE CHERRY 750ml;750ml;1080;10;110;11;4;440;44;0.816;8.16;359.04;0.345;0.22;0.285;10.8;6.8;28
1012040;SIDOLUX WINDOW;01012040;121-01-051-0185;34025090;5902986244933;5902986245008;SDX OKNA&ZRCADLA ARCTIC DOYPACK 500ml;500ml;1080;14;196;14;5;980;70;0.531;7.43;520.1;0.27;0.23;0.24;13;6.4;22.8
1012041;SIDOLUX WINDOW;01012041;121-01-051-0187;34025090;5902986245091;5902986245107;SDX OKNA&ZRCADLA MARSEILL+LEV DOYPACK 500ml;500ml;1080;14;196;14;5;980;70;0.531;7.43;520.1;0.27;0.23;0.24;13;6.4;22.8
1012042;SIDOLUX WINDOW;01012042;121-01-051-0267;34025090;5902986216763;5902986216770;SDX OKNA&ZRCADLA J. CHERRY DOYPACK 500ml;500ml;1080;14;196;14;5;980;70;0.531;7.43;520.1;0.27;0.23;0.24;13;6.4;22.8
1012020;SIDOLUX WINDOW;01012020;121-01-051-0147;3402909000;5902986233036;/;SDX OKNA&ZRCADLA LEMON 5000ml;5000ml;1080;1;33;33;3;99;99;5.1;5.1;504.9;-;-;-;19;15.5;24
1012021;SIDOLUX WINDOW;01012021;121-01-051-0146;3402909000;5902986233029;/;SDX OKNA&ZRCADLA ARCTIC 5000ml;5000ml;1080;1;33;33;3;99;99;5.1;5.1;504.9;-;-;-;19;15.5;24
1012030;SIDOLUX WINDOW;01012030;121-01-075-0006;34025090;5902986214127;5902986214134;SDX OKNA&RÁMY MARSEILL+LAVEN 1000ml;1000ml;1080;10;120;12;4;480;48;1.05;10.55;506.4;0.385;0.195;0.27;9.4;7.6;26
1012031;SIDOLUX WINDOW;01012031;121-01-075-0005;34025090;5902986213533;5902986213540;SDX OKNA&RÁMY YLANG 1000ml;1000ml;1080;10;120;12;4;480;48;1.05;10.55;506.4;0.385;0.195;0.27;9.4;7.6;26
1012504;MR.TEPPICH prostředky na čištění koberců a čalounění;01012504;121-02-003-0015;34025090;5902986204784;5902986204791;MR.TEPPICH ODSTRAŇOVAČ SKVRN 500ml;500ml;1080;10;150;15;4;600;60;0.56;5.6;336;26.5;23;28;11.5;4.5;27
1012506;MR.TEPPICH prostředky na čištění koberců a čalounění;01012506;121-02-002-0024;34025090;5902986223136;5902986223143;MR.TEPPICH SUCHÁ PĚNA MOŘE 600ml;600ml;1080;12;192;16;3;576;48;0.683;8.2;393.6;0.285;0.2;0.3;6.5;6.5;30
1012507;MR.TEPPICH prostředky na čištění koberců a čalounění;01012507;121-02-002-0025;34025090;5902986223112;5902986223129;MR.TEPPICH SUCHÁ PĚNA KVĚT 600ml;600ml;1080;12;192;16;3;576;48;0.683;8.2;393.6;0.285;0.2;0.3;6.5;6.5;30
