market;category_id;name;path;depth;source_url
CZ;3340;Chladiče a jejich díly;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Chladiče a jejich díly;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3462;Kabinové filtry pro automobily;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Filtry do auta | Kabinové filtry pro automobily;7;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3261;Olejové filtry pro automobily;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Filtry do auta | Olejové filtry pro automobily;7;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3262;Palivové filtry pro automobily;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Filtry do auta | Palivové filtry pro automobily;7;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3965;Vzduchové filtry pro automobily;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Filtry do auta | Vzduchové filtry pro automobily;7;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3338;Olejové vany;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Olejové vany;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3337;Palivová čerpadla;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Palivová čerpadla;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3463;Rozvody motoru;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Rozvody motoru;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3386;Setrvačníky;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Setrvačníky;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3383;Spojky;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Spojky;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3924;Startéry do auta;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Startéry do auta;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;4463;Turbodmychadla;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Turbodmychadla;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;4491;Váhy vzduchu;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Váhy vzduchu;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3263;Zapalovací cívky;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Zapalování do aut | Zapalovací cívky;7;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3197;Zapalovací svíčky;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Zapalování do aut | Zapalovací svíčky;7;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3198;Žhavící svíčky;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Zapalování do aut | Žhavící svíčky;7;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6406;Odpružení aut;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Odpružení aut;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;2892;Stěrače;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Stěrače;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3328;Auto blinkry;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Světla na auto | Auto blinkry;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;2787;Autožárovky;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Světla na auto | Autožárovky;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;1282;Exteriérové osvětlení;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Světla na auto | Exteriérové osvětlení;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3342;Mlhová světla;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Světla na auto | Mlhová světla;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3326;Přední světlomety;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Světla na auto | Přední světlomety;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3744;Xenonové výbojky;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Světla na auto | Xenonové výbojky;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3327;Zadní světlomety;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Světla na auto | Zadní světlomety;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3336;Tažná zařízení;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Tažná zařízení;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3331;Katalyzátory;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Výfukový systém | Katalyzátory;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;1295;Koncovky výfuku;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Výfukový systém | Koncovky výfuku;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3264;Lambda sondy;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Výfukový systém | Lambda sondy;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;2740;Výfuky na auto;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Výfukový systém | Výfuky na auto;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;8608;Autolaky;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Autolaky;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5805;Péče o autoskla;Heureka.cz | Auto-moto | Vše pro auta | Autokosmetika | Péče o autoskla;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
